,index,Price,Year,Mileage,City,State,Vin,Make,Model
98,462817,24988,2015,31540,Carson, CA,KMHGN4JE4FU067148,Hyundai,Genesis3.8L
99,664213,25890,2017,25053,Medford, MA,1N4AA6AP8HC360083,Nissan,MaximaSV
100,209111,14400,2015,18654,Cornelius, NC,1C3CDFEB7FD173325,Dodge,DartGT
101,560027,31950,2015,24287,Austin, TX,JTHBK1GG1F2154580,Lexus,ES
102,436819,23575,2016,17914,Gainesville, FL,KMHE34L16GA014641,Hyundai,Sonata
103,98129,16995,2017,11183,McDonough, GA,1G1BF5SM3H7173270,Chevrolet,CruzeSedan
104,695072,27300,2016,9055,Asheville, NC,1N6AD0EV5GN738464,Nissan,FrontierCrew
105,148936,25969,2014,82219,Lubbock, TX,3GCUKREC5EG111133,Chevrolet,Silverado
106,849474,25998,2014,68077,Hingham, MA,YV4952CZ5E1699641,Volvo,XC90AWD
107,172432,45999,2017,3580,Albuquerque, NM,3GCUKSEC7HG363736,Chevrolet,Silverado
108,206423,10500,2016,45274,West Allis, WI,1C3CDFBBXGD555242,Dodge,DartSXT
109,746680,10995,2015,34502,Doral, FL,2T1BURHE2FC375419,Toyota,CorollaS
110,726988,15995,2013,41639,Concord, NC,JF1ZNAA10D1726386,Scion,FR-S2dr
111,824240,22380,2017,10168,Killeen, TX,3VW4T7AU5HM001492,Volkswagen,Golf
112,97057,9888,2014,64522,Moon Township, PA,1G1PC5SB9E7267386,Chevrolet,Cruze1LT
113,622554,4500,2007,110891,Lakewood, NJ,1MEHM43167G604736,Mercury,Montego4dr
114,606354,31995,2014,40005,Alexandria, VA,WDCGG8JB4EG202437,Mercedes-Benz,GLK-ClassGLK350
115,382317,18406,2017,7646,Oakland, CA,19XFC2F52HE220338,Honda,Civic
116,565357,30977,2014,36400,Covington, KY,JTHCE1D21E5000176,Lexus,IS
117,101509,15010,2015,40907,Chester, VA,1G1PG5SB5F7298611,Chevrolet,CruzeLTZ
118,791438,20775,2012,72924,San Antonio, TX,5TDYK3EH0CS066658,Toyota,HighlanderFWD
119,393724,17328,2016,26602,Boise, ID,JHMGK5H76GX005274,Honda,FitEX
120,498612,23232,2014,36863,Paramus, NJ,1C4RJFAG4EC470072,Jeep,Grand
121,96124,13888,2016,42521,Daytona Beach, FL,1G11C5SA5GF152175,Chevrolet,Malibu
122,634185,12990,2015,31065,Doral, FL,1N4AL3APXFC136772,Nissan,Altima2.5
123,616942,27995,2014,36447,Bethlehem, PA,WD3PE7CC0E5818508,Mercedes-Benz,Sprinter
124,256150,8900,2014,74092,Pinellas Park, FL,1FADP3F24EL396484,Ford,FocusSedan
125,849364,23700,2014,54081,Manchester, MO,YV4902DZ5E2548547,Volvo,XC60T6
126,453579,9495,2012,86605,Knoxville, TN,KMHCT4AE6CU034362,Hyundai,Accent4dr
127,289264,16293,2015,64899,Florence, KY,1FAHP2H82FG125902,Ford,TaurusSEL
128,400847,25795,2017,3937,Hopkins, MN,1HGCR2F86HA214932,Honda,Accord
129,49250,37753,2015,38713,Tucson, AZ,5UXKR2C55F0H39117,BMW,X5sDrive35i
130,532947,19811,2017,29322,Olympia, WA,KNDPMCACXH7103958,Kia,SportageAWD
131,9597,37493,2016,30492,McKinney, TX,5FRYD4H41GB017356,Acura,MDXSH-AWD
132,450340,12969,2013,78643,Des Moines, IA,KMHFG4JG5DA240665,Hyundai,AzeraSedan
133,123980,17998,2014,44594,Peoria, AZ,2G1FA1E36E9174189,Chevrolet,CamaroCoupe
134,213002,9999,2012,91452,Tucson, AZ,3C4PDCBG8CT304330,Dodge,JourneyFWD
135,577144,24666,2017,31648,Arlington, VA,3LN6L5A92HR608508,Lincoln,MKZPremiere
136,401812,18111,2015,42575,McKinney, TX,5J6RM4H37FL054950,Honda,CR-VLX
137,433217,11186,2016,40574,Orlando, FL,5NPDH4AE1GH780146,Hyundai,ElantraSE
138,617723,39750,2012,43594,Louisville, KY,WDDNG9EB3CA435518,Mercedes-Benz,S-ClassS550
139,802183,11988,2008,113624,Grimes, IA,JTMBD31V686055876,Toyota,RAV44WD
140,549112,6500,2007,83300,Orlando, FL,KNAFG525077044526,Kia,Rondo4dr
141,479774,39888,2015,26558,Hollywood, FL,SAJWA2GZ4F8V75804,Jaguar,XJL
142,10057,12595,2008,143472,Denver, CO,2HNYD28238H518324,Acura,MDX4WD
143,204379,8988,2009,82000,Warren, MI,2B3KA43V79H598098,Dodge,Charger4dr
144,506991,34900,2017,23978,Fredericksburg, VA,1C4RJFBG4HC701426,Jeep,Grand
145,625042,24000,2017,9134,Gaithersburg, MD,WMWXU3C57H2D32576,MINI,Hardtop
146,598742,15981,2012,88031,Long Island City, NY,WDCGG8HB7CF859466,Mercedes-Benz,GLK-ClassGLK350
147,20960,15999,2009,114515,Bloomington, CA,WA1KK78R29A043691,Audi,Q5quattro
148,590829,24000,2016,5899,Tampa, FL,JM3KE2DY2G0780302,Mazda,CX-52016.5
149,602554,29000,2014,35859,Gonzales, LA,WDCGG5HB9EG326188,Mercedes-Benz,GLK-ClassGLK350
150,440349,11500,2013,57993,Elkhart, IN,5NPEB4AC4DH761980,Hyundai,SonataGLS
151,286132,19988,2015,73185,Gainesville, GA,1FM5K7D81FGA46537,Ford,ExplorerXLT
152,758750,19959,2017,4560,Henderson, NC,4T1BF1FK1HU304735,Toyota,CamrySE
153,292843,7585,2008,15918,Sauk City, WI,1FAHP33N88W196484,Ford,Focus2dr
154,628006,15395,2016,28968,Leesville, LA,JA4AP3AU9GZ049474,Mitsubishi,Outlander
155,700208,26395,2007,47141,Orlando, FL,WP0AB29857U781930,Porsche,Cayman2dr
156,821969,24214,2012,92248,St Charles, IL,5TFDW5F16CX236211,Toyota,Tundra
157,88724,12900,2014,56600,Evans, GA,1G11A5SL1EF290168,Chevrolet,MalibuLS
158,767246,4990,2004,109690,Honolulu, HI,1NXBR38E34Z273217,Toyota,Corolla4dr
159,677658,14726,2014,39246,Chicago, IL,JN8AF5MVXET360960,Nissan,JUKESL
160,534003,18480,2017,26935,Philadelphia, PA,KNDPM3AC8H7070281,Kia,Sportage2WD
161,339,15969,2015,56112,Henderson, NV,19VDE1F39FE009489,Acura,ILX5-Speed
162,491846,23299,2014,31112,Hinesville, GA,1C4PJMBS5EW157237,Jeep,CherokeeTrailhawk
163,362007,8500,2007,202361,Lexington, KY,1GKFK130X7R142209,GMC,Yukon4WD
164,402330,13000,2008,68398,Beaverton, OR,1HGCS128X8A014852,Honda,Accord
165,3847,21995,2015,30200,Naugatuck, CT,19UUB3F53FA001440,Acura,TLXSH-AWD
166,78489,22600,2013,79673,Lawton, OK,2G61U5S35D9115883,Cadillac,XTSPlatinum
167,358959,21995,2013,77950,McDonough, GA,1GKKRRKD6DJ224171,GMC,AcadiaFWD
168,529748,9235,2012,112031,Mount Laurel, NJ,5XXGM4A72CG047197,Kia,Optima4dr
169,178664,10950,1997,115505,Phoenix, AZ,1G1YY22G8V5104238,Chevrolet,Corvette2dr
170,176312,32888,2014,52832,Odessa, TX,3GCPCREC5EG463588,Chevrolet,Silverado
171,552007,44990,2017,1555,SARASOTA, FL,SALVP2BG5HH176569,Land,Rover
172,625732,17788,2014,23860,Albuqueque, NM,WMWZC3C59EWP25573,MINI,Cooper
173,43458,25999,2013,63461,Ballwin, MO,5UXZV4C58D0B16996,BMW,X5xDrive35i
174,47763,38500,2014,38197,Virginia Beach, VA,WBAFV3C53ED686343,BMW,5
175,476734,28589,2012,109544,Brooklyn, NY,JN8AZ2NC0C9316432,INFINITI,QX564WD
176,554109,13390,2011,96759,York, PA,JTHBK1EG4B2432143,Lexus,ES
177,280617,15690,2015,38363,Ft. Lauderdale, FL,1FAHP2F82FG170552,Ford,TaurusLimited
178,176354,45998,2017,19041,McKinney, TX,1GNSCBKC2HR199327,Chevrolet,TahoeLT
179,161595,24988,2014,38088,Topeka, KS,1GNKRGKD1EJ233014,Chevrolet,Traverse1LT
180,178414,54977,2017,4455,Buffalo, MN,1GC1KVEY2HF140683,Chevrolet,Silverado
181,219848,12988,2010,94049,Norwalk, CA,3D7JB1EP8AG153268,Dodge,Ram
182,707617,22022,2014,66702,Kissimmee, FL,1C6RR6KT2ES184710,Ram,"1500Express,"
183,615579,39850,2015,37290,Houston, TX,4JGDA5HB0FA518321,Mercedes-Benz,M-ClassML350
184,273038,1988,2007,211027,Englewood, CO,3FAHP07Z87R129770,Ford,Fusion4dr
185,53106,40720,2013,17134,Eatontown, NJ,WBAYM1C54DDZ02389,BMW,6
186,617222,44991,2014,25320,Daytona Beach, FL,WDDKK5KF1EF266316,Mercedes-Benz,E-ClassE350
187,280392,21576,2014,23266,Santa Ana, CA,1ZVBP8FF3E5295049,Ford,MustangConvertible
188,391626,16996,2014,30166,Denville, NJ,1HGCR2F52EA189772,Honda,Accord
189,624575,6888,2006,95945,San Mateo, CA,WMWRC33536TJ77430,MINI,Cooper
190,351928,14588,2012,64004,Mt. Juliet, TN,2GKFLTE58C6321808,GMC,TerrainAWD
191,678198,14490,2013,34662,Denton, TX,JN8AF5MR9DT225082,Nissan,JUKESV
192,611347,32985,2014,30269,Ft. Lauderdale, FL,WDDHF5KB5EB032974,Mercedes-Benz,E-ClassE350
193,163325,13995,2010,163283,Crest hill, IL,3GNVKGE01AG208684,Chevrolet,Avalanche4WD
194,85649,13000,2014,27986,Louisville, KY,1G11B5SL9EF157770,Chevrolet,MalibuLS
195,257835,5998,2011,96095,Jefferson City, MO,3FADP4EJ1BM129716,Ford,Fiesta5dr
196,564036,32000,2015,41465,Bellevue, WA,JTHCF1D23F5020279,Lexus,IS
197,748231,13993,2015,33367,San Antonio, TX,2T1BURHE4FC313164,Toyota,CorollaLE
198,726811,12992,2014,28374,Avondale, AZ,JTLZE4FEXEJ062594,Scion,xBManual
199,819367,22691,2014,78875,Southfield, MI,5TDDK3DC5ES091420,Toyota,"SiennaLimited,"
200,287748,26544,2016,14937,Kingsland, GA,2FMPK3J94GBB70888,Ford,EdgeSEL
201,260970,16995,2014,43863,Blackwood, NJ,3FA6P0K90ER128950,Ford,FusionTitanium
202,440575,7999,2010,59509,Riverhead, NY,KMHDU4AD4AU993278,Hyundai,Elantra4dr
203,233797,34000,2016,15926,Framingham, MA,1C4SDJET1GC402141,Dodge,DurangoAWD
204,137274,3990,2005,170510,Owensboro, KY,1GNET16S556131531,Chevrolet,TrailBlazer4dr
205,226954,13995,2004,110529,Sheridan, WY,1D7KU28D54J167797,Dodge,Ram
206,221101,21989,2017,21597,Memphis, TN,2C4RDGCG3HR558147,Dodge,Grand
207,268858,18495,2014,23420,Stafford, VA,1FADP3L91EL309836,Ford,FocusHatchback
208,505365,33000,2017,20285,Daphne, AL,1C4RJEBG9HC765357,Jeep,Grand
209,393246,17242,2013,26262,Patchogue, NY,1HGCR3F8XDA016709,Honda,Accord
210,777167,23500,2016,7951,Elko, NV,JTMRFREV5GD177838,Toyota,RAV4AWD
211,54217,42690,2015,34817,Plano, TX,WBA6B8C51FD453164,BMW,6
